Name,LastName,YearsInOffice,Party,State,TermEnds,District,Branch,Role,ChairmanOfCommittee,ChairmanOfSubcommittee1,ChairmanOfSubcommittee2,ChairmanOfSubcommittee3,ChairmanOfOtherCommittee1,ChairmanOfOtherCommittee2
Lisa Murkowski,Murkowski,14,Republican,Alaska,2023,,Senate,,Energy and Natural Resources,"Interior, Environment, and Related Agencies",,,,
Luther J. Strange  III,Strange,0,Republican,Alabama,2019,,Senate,,,,,,,
Maggie Hassan,Hassan,0,Democratic,New Hampshire,2023,,Senate,,,,,,,
Marco Rubio,Rubio,6,Republican,Florida,2023,,Senate,,,"Western Hemisphere, Transnational Crime, Civilian Security, Democracy, Human Rights and Global Women's Issues",,,,
Maria Cantwell,Cantwell,16,Democratic,Washington,2019,,Senate,,,,,,,
Mark Warner,Warner,8,Democratic,Virginia,2021,,Senate,Vice Chair of Conference,,,,,,
Martin Heinrich,Heinrich,4,Democratic,New Mexico,2019,,Senate,,,,,,,
Mazie K. Hirono,Hirono,4,Democratic,Hawaii,2019,,Senate,,,,,,,
Michael Bennet,Bennet,8,Democratic,Colorado,2023,,Senate,,,,,,,
Mike Crapo,Crapo,18,Republican,Idaho,2023,,Senate,,"Banking, Housing, and Urban Affairs",,,,,
Mike Enzi,Enzi,20,Republican,Wyoming,2021,,Senate,,Budget,Subcommittee on Primary Health and Retirement Security,,,,
Mike Lee,Lee,6,Republican,Utah,2023,,Senate,,,Economic Policy,The Constitution,,Joint Economic Committee,
Mike Rounds,Rounds,2,Republican,South Dakota,2021,,Senate,,,"Public Lands, Forests and Mining",Financial Services and General Government,,,
Mitch McConnell,McConnell,32,Republican,Kentucky,2021,,Senate,Republican Leader,,,,,,
Orrin Hatch,Hatch,40,Republican,Utah,2019,,Senate,,Finance,,,,Joint Committee on Taxation,
Pat Roberts,Roberts,20,Republican,Kansas,2021,,Senate,,"Agriculture, Nutrition and Forestry",,,,,
Pat Toomey,Toomey,6,Republican,Pennsylvania,2023,,Senate,,,"Oversight, Agency Action, Federal Rights and Federal Courts","Housing, Transportation, and Community Development",,,
Patrick Leahy,Leahy,42,Democratic,Vermont,2023,,Senate,,,,,,,
Patty Murray,Murray,24,Democratic,Washington,2023,,Senate,Assistant Democratic Leader,,,,,,
Rand Paul,Paul,6,Republican,Kentucky,2023,,Senate,,,"State, Foreign Operations, and Related Programs","Securities, Insurance, and Investment",,,
Richard Blumenthal,Blumenthal,6,Democratic,Connecticut,2023,,Senate,,,,,,,
Richard Burr,Burr,12,Republican,North Carolina,2023,,Senate,,,,,,Intelligence,
Richard Shelby,Shelby,30,Republican,Alabama,2023,,Senate,,Rules and Administration,"Commerce, Justice, Science, and Related Agencies",,,Joint Committee on Printing,Joint Committee on the Library
Rob Portman,Portman,6,Republican,Ohio,2023,,Senate,,,Transportation and Infrastructure,Regulatory Affairs and Federal Management,,,
Roger Wicker,Wicker,10,Republican,Mississippi,2019,,Senate,,,Health Care,Seapower,,,
Ron Johnson,Johnson,6,Republican,Wisconsin,2023,,Senate,,Homeland Security and Governmental Affairs,Europe and Regional Security Cooperation,,,,
Ron Wyden,Wyden,21,Democratic,Oregon,2023,,Senate,,,,,,,
Roy Blunt,Blunt,6,Republican,Missouri,2023,,Senate,Vice Chairman of the Senate Republican Conference,,Clean Air and Nuclear Safety,Financial Institutions and Consumer Protection,,,
Sheldon Whitehouse,Whitehouse,10,Democratic,Rhode Island,2019,,Senate,,,,,,,
Shelley Moore Capito,Capito,2,Republican,West Virginia,2021,,Senate,,,,,,,
Sherrod Brown,Brown,10,Democratic,Ohio,2019,,Senate,,,,,,,
Steve Daines,Daines,2,Republican,Montana,2021,,Senate,,,"Antitrust, Competition Policy and Consumer Rights",Legislative Branch,,,
Susan Collins,Collins,20,Republican,Maine,2021,,Senate,,,"Transportation, Housing and Urban Development, and Related Agencies",,,Aging,
Tammy Baldwin,Baldwin,4,Democratic,Wisconsin,2019,,Senate,Secretary of the Conference,,,,,,
Tammy Duckworth,Duckworth,0,Democratic,Illinois,2023,,Senate,,,,,,,
Ted Cruz,Cruz,4,Republican,Texas,2019,,Senate,,,"Conservation, Forestry and Natural Resources",National Security and International Trade and Finance,,,
Thad Cochran,Cochran,39,Republican,Mississippi,2021,,Senate,,Appropriations,Defense,,,,
Thom Tillis,Tillis,2,Republican,North Carolina,2021,,Senate,,,Personnel,,,,
Tim Kaine,Kaine,4,Democratic,Virginia,2019,,Senate,,,,,,,
Tim Scott,Scott,4,Republican,South Carolina,2023,,Senate,,,Taxation and IRS Oversight,"Superfund, Waste Management and Regulatory Oversight",,,
Todd C. Young,Young,0,Republican,Indiana,2023,,Senate,,,"International Development, Multilateral Institutions and International Economic, Energy and Environmental Policy",,,,
Tom Carper,Carper,16,Democratic,Delaware,2019,,Senate,,,,,,,
Tom Cotton,Cotton,2,Republican,Arkansas,2021,,Senate,,,"Aviation Operations, Safety, and Security","Consumer Protection, Product Safety, Insurance and Data Security",,,
Tom Udall,Udall,8,Democratic,New Mexico,2021,,Senate,,,,,,,
