Name,LastName,YearsInOffice,Party,State,TermEnds,District,Branch,Role,ChairmanOfCommittee,ChairmanOfSubcommittee1,ChairmanOfSubcommittee2,ChairmanOfSubcommittee3,ChairmanOfOtherCommittee1,ChairmanOfOtherCommittee2
Chris Stewart,Stewart,4,Republican,Utah,,District 2,House,,,,,,,
Claudia Tenney,Tenney,0,Republican,New York,,District 22,House,,,,,,,
Clay Higgins,Higgins,0,Republican,Louisiana,,District 3,House,,,,,,,
Colleen Hanabusa,Hanabusa,1,Democratic,Hawaii,,District 1,House,,,,,,,
Collin Peterson,Peterson,26,Democratic,Minnesota,,District 7,House,,,,,,,
Dan Kildee,Kildee,4,Democratic,Michigan,,District 5,House,,,,,,,
Dan Newhouse,Newhouse,2,Republican,Washington,,District 4,House,,,,,,,
Dana Rohrabacher,Rohrabacher,28,Republican,California,,District 48,House,,,"Europe, Eurasia and Emerging Threats",,,,
Daniel Donovan,Donovan,2,Republican,New York,,District 11,House,,,"Emergency Preparedness, Response, and Communications",,,,
Daniel Lipinski,Lipinski,12,Democratic,Illinois,,District 3,House,,,,,,,
Daniel Webster,Webster,6,Republican,Florida,,District 11,House,,,,,,,
Danny K. Davis,Davis,20,Democratic,Illinois,,District 7,House,,,,,,,
Darin LaHood,LaHood,2,Republican,Illinois,,District 18,House,,,,,,,
Darrell Issa,Issa,16,Republican,California,,District 49,House,,,"Courts, Intellectual Property and the Internet",,,,
Darren Soto,Soto,0,Democratic,Florida,,District 9,House,,,,,,,
Dave Loebsack,Loebsack,10,Democratic,Iowa,,District 2,House,,,,,,,
Dave Reichert,Reichert,12,Republican,Washington,,District 8,House,,,Trade,,,,
David Brat,Brat,3,Republican,Virginia,,District 7,House,,,"Economic Growth, Tax and Capital Access",,,,
David G. Valadao,Valadao,4,Republican,California,,District 21,House,,,,,,,
David Joyce,Joyce,4,Republican,Ohio,,District 14,House,,,,,,,
David Kustoff,Kustoff,0,Republican,Tennessee,,District 8,House,,,,,,,
David McKinley,McKinley,6,Republican,West Virginia,,District 1,House,,,,,,,
David N. Cicilline,Cicilline,6,Democratic,Rhode Island,,District 1,House,,,,,,,
David Price,Price,20,Democratic,North Carolina,,District 4,House,,,,,,,
David Rouzer,Rouzer,2,Republican,North Carolina,,District 7,House,,,Livestock and Foreign Agriculture,,,,
David Schweikert,Schweikert,6,Republican,Arizona,,District 6,House,,,,,,,
David Scott,Scott,14,Democratic,Georgia,,District 13,House,,,,,,,
David Trott,Trott,2,Republican,Michigan,,District 11,House,,,,,,,
David Young,Young,2,Republican,Iowa,,District 3,House,,,,,,,
Debbie Dingell,Dingell,2,Democratic,Michigan,,District 12,House,,,,,,,
Debbie Wasserman Schultz,Wasserman Schultz,12,Democratic,Florida,,District 23,House,,,,,,,
Dennis A. Ross,Ross,6,Republican,Florida,,District 15,House,,,,,,,
Denny Heck,Heck,4,Democratic,Washington,,District 10,House,,,,,,,
Derek Kilmer,Kilmer,4,Democratic,Washington,,District 6,House,,,,,,,
Devin Nunes,Nunes,14,Republican,California,,District 22,House,,,,,,Intelligence,
Diana DeGette,DeGette,20,Democratic,Colorado,,District 1,House,,,,,,,
Diane Black,Black,6,Republican,Tennessee,,District 6,House,,,,,,,
Dina Titus,Titus,4,Democratic,Nevada,,District 1,House,,,,,,,
Don Bacon,Bacon,0,Republican,Nebraska,,District 2,House,,,,,,,
Don Beyer,Beyer,2,Democratic,Virginia,,District 8,House,,,,,,,
Don Young,Young,44,Republican,Alaska,,At-Large District,House,,,,,,,
Donald McEachin,McEachin,0,Democratic,Virginia,,District 4,House,,,,,,,
Donald Norcross,Norcross,3,Democratic,New Jersey,,District 1,House,,,,,,,
Donald Payne Jr.,Payne Jr.,4,Democratic,New Jersey,,District 10,House,,,,,,,
Doris Matsui,Matsui,12,Democratic,California,,District 6,House,,,,,,,
Doug Collins,Collins,4,Republican,Georgia,,District 9,House,,,Rules and the Organization of the House,,,,
Doug LaMalfa,LaMalfa,4,Republican,California,,District 1,House,,,"Indian, Insular and Alaska Native Affairs",,,,
Doug Lamborn,Lamborn,10,Republican,Colorado,,District 5,House,,,"Water, Power and Oceans",,,,
Drew Ferguson,Ferguson,0,Republican,Georgia,,District 3,House,,,,,,,
Duncan Hunter,Hunter,8,Republican,California,,District 50,House,,,Coast Guard and Maritime Transportation,,,,
Dutch Ruppersberger,Ruppersberger,14,Democratic,Maryland,,District 2,House,,,,,,,
Dwight Evans,Evans,1,Democratic,Pennsylvania,,District 2,House,,,,,,,
"Earl ""Buddy"" Carter",Carter,2,Republican,Georgia,,District 1,House,,,,,,,
Earl Blumenauer,Blumenauer,20,Democratic,Oregon,,District 3,House,,,,,,,
Ed Perlmutter,Perlmutter,10,Democratic,Colorado,,District 7,House,,,,,,,
Eddie Bernice Johnson,Johnson,24,Democratic,Texas,,District 30,House,,,,,,,
Edward Royce,Royce,24,Republican,California,,District 39,House,,Foreign Affairs,,,,,
Elijah Cummings,Cummings,21,Democratic,Maryland,,District 7,House,,,,,,,
Eliot Engel,Engel,28,Democratic,New York,,District 16,House,,,,,,,
